coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=462806665), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1831, 650])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=495792160), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1827, 643])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=561862733), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1810, 653])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=594840632), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1806, 645])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=660798168), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1791, 643])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=693838104), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1785, 653])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=759911407), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1774, 654])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=792886250), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1765, 653])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=825898225), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1761, 632])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=858906686), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1752, 616])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=891918483), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1746, 657])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=924916753), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1739, 659])
