header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=69035872)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=79175838)",,[-0.00226399 -0.61554435  0.37543842  2.23402583  0.59449826  0.86530601],[0. 0. 0. 0. 0. 0.],"[ 3.17000772e-06 -5.95389046e-06  7.47248175e-06  7.29327911e-09
 -4.62888557e-08  3.90674010e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=79226609)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=89367495)",,[-0.00226381 -0.61554426  0.37543832  2.2340261   0.59449814  0.86530672],[0. 0. 0. 0. 0. 0.],"[ 3.22206878e-05  2.09112900e-05 -1.85003003e-05  7.32117983e-08
 -2.79863059e-08  1.04876297e-07]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=89412987)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=99543512)",,[-0.00226384 -0.61554437  0.37543827  2.23402612  0.59449827  0.86530653],[0. 0. 0. 0. 0. 0.],"[-1.76794295e-05 -8.15787135e-06 -6.97136149e-06  1.27329688e-09
  8.14123207e-09 -2.45345478e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=99580914)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=109740590)",,[-0.00226372 -0.61554433  0.37543804  2.23402651  0.59449803  0.86530679],[0. 0. 0. 0. 0. 0.],"[ 1.26987733e-05 -4.83858499e-06 -4.43844238e-05  6.18748686e-08
  1.65873007e-08  1.23372778e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=109772651)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=119897646)",,[-0.00226357 -0.61554431  0.37543818  2.23402623  0.59449802  0.86530675],[0. 0. 0. 0. 0. 0.],"[ 1.87058789e-05 -3.56590000e-06  1.67614628e-06 -7.37437699e-09
 -2.55132602e-08 -2.94108725e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=119935548)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=130069523)",,[-0.0022634  -0.61554429  0.37543818  2.23402621  0.5944979   0.86530718],[0. 0. 0. 0. 0. 0.],"[ 1.97231845e-05  9.14218067e-06 -1.09976390e-05  5.05681881e-08
 -5.19982843e-08  2.04953785e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=130101574)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=140220839)",,[-0.00226342 -0.61554429  0.37543833  2.23402614  0.59449839  0.86530706],[0. 0. 0. 0. 0. 0.],"[ 3.55843647e-06 -3.71995699e-06  2.97547008e-05 -6.40390775e-08
  5.02203698e-09  3.10229555e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=140257841)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=150390546)",,[-0.00226331 -0.61554423  0.3754381   2.23402661  0.59449798  0.86530754],[0. 0. 0. 0. 0. 0.],"[-3.25155088e-07  1.43145004e-05 -2.51035248e-05  6.81385241e-08
  7.99670845e-09 -4.90024369e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=150423537)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=160542172)",,[-0.00226327 -0.61554431  0.37543818  2.23402633  0.59449821  0.8653074 ],[0. 0. 0. 0. 0. 0.],"[-1.38730537e-06 -4.45873634e-06  2.68705902e-06 -2.51803496e-08
  1.11325313e-08  2.53275281e-09]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=160570913)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=170714259)",,[-0.00226327 -0.61554439  0.37543827  2.23402604  0.5944982   0.86530712],[0. 0. 0. 0. 0. 0.],"[-1.06940976e-05 -1.96158147e-05  1.82940119e-05 -4.44686984e-08
 -2.39970466e-08 -3.57015147e-08]",xmate_state
